
===== full sorted by cumulative =====
         57727 function calls (56905 primitive calls) in 0.045 seconds

   Ordered by: cumulative time
   List reduced from 749 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   106/12    0.000    0.000    0.001    0.000 /home/freman/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/re/_compiler.py:37(_compile)
     1205    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       52    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       23    0.000    0.000    0.001    0.000 /home/freman/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/inspect.py:2373(_signature_from_function)
       40    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
3406/3283    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      389    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      519    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      866    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1787    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     1309    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       25    0.000    0.000    0.008    0.000 /home/freman/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/dataclasses.py:470(add_fns_to_class)
      853    0.000    0.000    0.001    0.000 {built-in method builtins.min}
        9    0.000    0.000    0.001    0.000 /home/freman/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/collections/__init__.py:358(namedtuple)
        1    0.000    0.000    0.000    0.000 /home/freman/dev/yet-another-statusline/claude/yas/tokens.py:218(recently_active)
       12    0.000    0.000    0.000    0.000 {built-in method _io.open}
     1760    0.000    0.000    0.000    0.000 /home/freman/dev/yet-another-statusline/claude/yas/render/borders.py:176(<genexpr>)
        2    0.000    0.000    0.001    0.001 /home/freman/dev/yet-another-statusline/claude/yas/render/borders.py:181(border_separator_dim)
        1    0.000    0.000    0.000    0.000 /home/freman/dev/yet-another-statusline/claude/yas/tokens.py:178(history)



[wrote /home/freman/dev/yet-another-statusline/ops/profile-out/full.pstats]
